Voltas,Tempo
1,00:06:20	
2,00:11:10	
3,00:16:21	
4,00:21:41	
5,00:35:20	
6,00:38:41	
7,00:43:12	
8,00:48:05	
9,00:52:21	
10,01:05:23	
11,01:12:24	
12,01:16:13	
13,01:20:03	
14,01:25:14	
15,01:30:46	
16,01:35:30	
17,01:40:00	
18,01:44:01	
19,01:47:20	
20,01:51:43	
21,01:56:00	
22,01:58:20	
23,02:00:45	
24,02:03:53	
25,02:07:45	
26,02:10:22	
27,02:13:00	
28,02:15:20	
29,02:17:40	
30,02:34:00	
31,02:36:20	
32,02:38:40	
33,02:41:20	
34,02:44:00	
35,02:47:00	
36,02:49:40	
37,02:52:20	
38,02:55:00	
39,02:57:40	
40,03:00:00	
41,03:02:00	
42,03:04:20	
43,03:07:20	
44,03:10:40	
45,03:13:00	
46,03:15:20	
47,03:18:00	
48,03:31:40	
49,03:34:00	
50,03:35:40	
51,03:38:20	
52,03:41:00	
53,03:43:20	
54,03:47:00	
55,03:50:00	
56,03:51:40	
57,03:54:00	
58,03:56:00	
59,03:58:00	
60,04:00:20	
60,0:0:0
60,0:0:0
